Deal Number,FE Price,FE Margin,F&I (BE) Margin,Grand Total Mrgn,After Tax Price ,Delivery Date
13088,"9,009.65","1,244.00",952.24,"2,196.24","10,540.90",10/11/2023 08:00:00.000 
13084,"24,710.81",885.42,519.00,"1,404.42","25,300.00",10/10/2023 08:00:00.000 
13073,"5,527.55",489.95,349.00,838.95,"6,428.76",10/07/2023 08:00:00.000 
13080,"14,014.65","2,905.04",719.00,"3,624.04","15,350.55",10/07/2023 08:00:00.000 
13082,"10,526.75","1,978.80",474.25,"2,453.05","11,474.16",10/07/2023 08:00:00.000 
13081,"5,501.81","-4,962.05",482.92,"-4,479.13","6,333.92",10/07/2023 08:00:00.000 
13067,"11,541.29",209.00,449.00,658.00,"12,367.01",10/07/2023 08:00:00.000 
13074,"15,995.00","2,495.00",474.25,"2,969.25","16,469.25",10/06/2023 08:00:00.000 
13051,"20,370.24","1,149.79","1,366.00","2,515.79","24,684.86",10/06/2023 08:00:00.000 
13076,"6,259.65","1,008.00",393.41,"1,401.41","7,061.34",10/05/2023 08:00:00.000 
13077,"2,698.00",763.00,295.12,"1,058.12","3,095.44",10/05/2023 08:00:00.000 
13078,"14,495.00",-672.44,895.40,222.96,"14,944.00",10/05/2023 08:00:00.000 
13079,"3,567.60",523.90,536.70,"1,060.60","4,162.38",10/05/2023 08:00:00.000 
13075,"6,259.65","1,008.00",385.91,"1,393.91","7,061.34",10/05/2023 08:00:00.000 
13070,"1,004.00",101.37,199.00,300.37,"1,273.00",09/30/2023 08:00:00.000 
13045,"10,481.00",542.23,894.00,"1,436.23","11,729.00",09/30/2023 08:00:00.000 
13069,"3,086.80",222.00,361.90,583.90,"3,425.65",09/30/2023 08:00:00.000 
13068,"4,149.00",344.25,199.00,543.25,"4,616.86",09/30/2023 08:00:00.000 
13062,"29,835.00","4,178.00",790.00,"4,968.00","33,905.60",09/30/2023 08:00:00.000 
13066,"5,649.00",633.43,752.70,"1,386.13","6,523.58",09/29/2023 08:00:00.000 
13061,"18,257.65",-599.36,585.00,-14.36,"20,248.14",09/29/2023 08:00:00.000 
13064,"32,231.29","3,197.00","3,095.00","6,292.00","41,418.90",09/28/2023 05:00:00.000 
13058,"6,659.65","1,091.92",682.13,"1,774.05","7,656.28",09/23/2023 08:00:00.000 
13060,"3,649.00",188.25,991.55,"1,179.80","5,051.39",09/23/2023 08:00:00.000 
13059,"4,049.00",195.28,"1,746.90","1,942.18","6,594.47",09/23/2023 08:00:00.000 
